x,y
3.015345269,0.4531772575
3.498721228,0.4531772575
3.498721228,0.6137123746
4,0.6137123746
4,0.8076923077
5.002557545,0.8076923077
5.002557545,0.9397993311
6.00511509,0.9397993311
6.00511509,0.9632107023
7.007672634,0.9632107023
7.007672634,0.9732441472
8.010230179,0.9732441472
8.010230179,0.9715719064
8.99488491,0.9715719064
8.99488491,0.974916388
10.01534527,0.974916388
10.01534527,0.974916388
12.00255754,0.974916388
12.00255754,0.974916388
14.00767263,0.974916388
14.00767263,0.974916388
16.01278772,0.974916388
16.01278772,0.974916388
18,0.974916388
18,0.9765886288
20.00511509,0.9765886288
